id,text,﻿id,label
196,"Então eu fui catando todas as roupas e 
achei uma tinta linda e quis pintar mais
animais, era uma tinta rosa muito 
bonita então começei a pintar e quando
vi pintei tudo, bom mais foi muito
legal mais tinha que guardar tudo
até que minha mãe apareceu e me deu
uma bronca daquelas, ai eu fui guardei
tudo correndo, e fui para escola na
hora que cheguei encontrei meus amigos
e nós fizemos pinturas eu adorei porque
adoro pintura e meus amigos também depois
fui para minha casa e encontrei um presente
para mim era um quadro lindo, agradeci
 meus avós e fui botar no meu quarto
era tão bonito e eu tenho até hoje,
eu tenho uma prima igual a mim ela
adora arte, para mim arte me explica muita
coisa eu pinto todos os dias porque é
incrivel pintar muito bonito, eu sempre falei
que um dia viraria pintora e eu virei
porque é bom demais, bom eu sei que
ja falei isso mais de 50 vezes mais eu 
sou assim !! [s]",8919,Competência 1 - nível 3#Competência 2 - nível 3#Competência 3 - nível 3#Competência 4 - nível 3
197,"[T] As [X]
Um certo dia uma menina [X] Alicia , estava 
brincando no seu quarto até que ela olha para cima e 
encima do seu armario tinha uma enorme caixa de tintas até
que ela pensou em ir até a cozinha pega o banquinho , ela foi até
a cozinha pegou o banquinho, e pegou a caixa de tintas , depois
de ter pegado as tintas, ela foi no seu material escolar e [X]
o seu caderno e arrancou varias folhas para brinca de tinta, 
ela ficou horas e horas pintando fazendo florzinha , jardim e sua
familia, até que ela teve uma ideia de pintar as paredes e o chão
ela ficou com [X] de sua mãe chingala e colocar ela de castigo .
mais mesmo assim desenho , na parede varias árvores com frutinhas as 
frutinhas eram morango, maça, laranja, [X], jabuticabas e varias outras , 
no [X] ela desenhou toda a sua família colocou suas tias seus
tios sua mãe seu [X] todo mundo, depois ela desenhou sua madri-
nha o seu padrinho , até que a sua mãe entra no quarto e
se depara com aquela cena ela ficou muito irritada e ela
pra banho e [X] toda aquela bagunça limpou o chão limpou
as paredes [X] todo o quarto dela e quando ela saiu do banho
ela ficou chatiada porque a mãe tinha limpado tudo! tudo!
tudo! tudo! não tinha sobrado nada! nada mesmo, ela ainda 
ficou de castigo ela ficou no cantinho [X] pensamento 
mais a sua mãe tirou ela conversou com ela [X] [X] que 
não pode fazer mais isso por que [X] [X] o quarto
dela a parede teve que pinta tudo de no o chão teve que 
lavar a cama dela ficou [?] e teve que limpa
todo de novo e deu muito trabalho por
que ela estava cheia de coisas para fazer .",8922,Competência 1 - nível 3#Competência 1 - nível 4#Competência 2 - nível 3#Competência 3 - nível 3#Competência 4 - nível 3#Competência 4 - nível 4
198,"[T]PINTURA
[P][?] [?] EM CIMA DO ARMARIO ALGUNS POTES COM
TINTA. ENTAO, RESOLVI  PINTAR NA PAREDE DO MEU QUARTO ALGUNS 
ANIMAIS. TEMPO DEPOIS, QUANDO VOLTEI NO QUARTO, NÃO HAVIA 
MAIS NENHUMA PINTURA E AS ROUPA DA GAVETA ESTAVAM 
ESPALHADA PELO CHÃO.
[P]ENTÃO, PARA EU SABER QUEM HAVIA DEIXADO AS ROUPAS DA 
GAVETA ESPALHADA PELO CHÃO E NÃO HAVER MAIS NENHUMA 
PINTURA, EU LIGUEI PARA MINHA AMIGA REBECA, PARA NÓS BRINCAR 
DE INVESTIGADOR. POIS EU SEI QUE ELA GOSTA DESSA BRINCADEIRA, E  
TAMBEM PODE TER CHANCE DE ENCONTRAR QUEM FEZ AQUELA 
BAGUNÇA.
[P]EU DESTUBRI QUEM FEZ A BAGUNÇA, EU VI UMAS PATINHAS 
DE CACHORRO, E ESSAS PATINHAS ERA DA MINHA CACHORRINHA
[P]A REBECA FOI EMBORA, EU LIMPEI A BAGUNÇA. DEU TUDO CERTO 
E DEI UM LEITINHO PRA MINHA CACHORRINHA.",8923,Competência 1 - nível 3#Competência 2 - nível 4#Competência 3 - nível 3#Competência 4 - nível 4
199,"[T] A trolagem contra mim
Eu encontrei em cima do armário alguns potes com [?] la. Então [?]
pintar na parede do meu quarto alguns animais. Tempo depois, quando
voltei no quarto, não havia mais nenhuma pintura as roupa da [?]
estavam espalhadas pelo chão. Como eu tinha demorado antes de [?]
[?] quarto, dava para alguem ter entrado no meu quarto e apagado meus
desenhos, mais quem? no dia seguinte fiz novos desenhos, novamente
apagaram, então perguntei a minha mãe se ela tinha apagado mais
ela disse que não havia apagado nenhum desenho, desconfiada [?]
perguntar a meu pai, ele tambem não tinha apagado, muito desconfiada
fui perguntar a meu irmão, ele riu e disse que não sabia de desenho
nenhum. Por causa da quela risada meu irmão se tornou o principal
suspeito de ter apagado meus desenhos, um tempo depois fui falar com
ele, antes de entrar no quarto dele revi atraz da porta ele falando com
um amigo sobre uma trolagem comigo apagando meus desenhos,
eu entrei no quarto furiosa, e perguntei por que ele tinha feito isso
ele disse que era por que eu tenho trolado ele semana passada.",8924,Competência 1 - nível 4#Competência 2 - nível 4#Competência 3 - nível 3#Competência 4 - nível 4
200,"[T] Tintas coloridas
Era uma vez uma menina que encontrou
varios potes de tinta no porão dentro de uma
caixa de madeira, junto das tintas tinha também
pinceis, ela resolvel pintar a parede da casa
do visinho em quanto ele estava fora de casa
quando comecoua pintar oseu visinho
chegou e perguntou [X] porque você pintou [X]parede
da minha casa vou disser a sua mãe.
Ele falou e a mãe disse que ela ia ficar
de castigo por dois dias a menina ficou triste
emas entendeu  que isso era errado pedio desculpas
e foi para o seu quarto deitou na cama e dormiu,
no dia seguinte percebeu que tinha dormido cedo
levantou-se da cama tomou café e foi para 
a escola horas depois, a menina chegou tomou
banho e resolvel pintar o papel e colar na
parede do seu quarto sua mãe perbeu que sua
filha estava bastante triste então resolvel colocar
ela em uma escola de arte quando dissea filha
ficou muito feliz mas tinha uma condição e essa
condição era que nunca pintasse as paredes
dos outros ela disse que nunca mais ia fazer isso",8925,Competência 1 - nível 4#Competência 2 - nível 3#Competência 3 - nível 3#Competência 4 - nível 4
201,"[T] [?] árvore grande
[P] Era uma vez eu e minha amiga [?] [?] [?] ir 
em um parque [?] deserlo enlão começamos a brincar de pega-pega mas
em um certo momento começa uma ventania muito forle então resolvemos
ficar debaixo de uma árvore muito linda mais ai a ventania
começou a ficar mais forte ainda e assim começamos a ficar com 
bastante medo depois de umas horas a ventania pasou e de longe
nos vimos umas escadas e nos fomos brincar nelas até que uma 
hora a genle cansou de ficar andando na escada e resolvemos 
ir brincar no rio com as [?] ai cansamos e fomos pra 
casa  domir no dia seguinte eu e a Emanuelle fomos la de 
novo e chegando la veiu um temporal muito forte e as
folhas começaram a cair e também caiu varios pedaços de
galhos em nossas cabeças e teve um mais pesado que caiu 
e quebrou a cabeça da minha amiga e corremos pro
hospital e [X] minha amiga morre e deixou uma 
herança pra mim que foi um colar de esmeraldas
e toda vez que eu olho pro colar eu lembro dela e eu 
resolvi colocar o colar dela no meu pescoço pra lembra dela e
[?} e eu sempre sonho com ela na minha vida toda",8929,Competência 1 - nível 2#Competência 2 - nível 2#Competência 3 - nível 2#Competência 4 - nível 2
202,"[T] Era uma vez a menina desobidiente 
Era uma vez uma menina desobidiente ela se chamava
de julia esa menina era muito desobidiente todo dia ela
sujava muito oseu quato e nunca gostava de alinpar a
sua mãe falou minha filha alinpa esse quato e a filha
mentiu para sua mãe e falou já arrumei mamãe
e a mãe OK filha thau vou trabalha OK mãe thau agora
vou fazer milha festa vou chama milhas amigas e meu
amigos a menina ligou para eles e chamou e eles
chegaram bem rrapidimlho e eles comPraram cinco pizza 
no cartan da sua mãe todos foran em bora e sua
mãe chegou OI filha OI mãe filha vim Pega nilhas roupas 
vou passa um dia no meu trabalho OK mãe thau-thau
a menina a chou um pote de baixo da cama ela
abriu e viu um monte de tinta e ela ficou muito alegre
ela comesou a pinta o quato da sua mãe sua mãe
chego e ela gritou aaa a menina ficou achado graça
e asua mãe bateu nela e ela aprendeu a aliça e nunca
mais ela desobedeseu.",8931,Competência 1 - nível 2#Competência 2 - nível 1#Competência 3 - nível 2#Competência 4 - nível 2
203,"Eu encontrei em cima do
armário alguns potes de tinta.
Então, resolvi pintar na parede
do meu quarto alguns animais,
Tempo depois, quando voltei no quarto, 
não havia mais nenhuma pintura
e as roupas da gaveta estavam
espalhadas pelo chão ai tinha um
Pouquinho de tinta que seca rapido 
ai minha mãe e minha irmã Marina,
Elas gosta [x] de [x] ai elas me 
ajudaram a pintar meu quarto,
chegou a [x][x] hora do almoço ai tranca-
mos o meu quarto, no almoço teve:
aroz, feijão, frango e [x]
completamente fizemos uma
música.. ai acabamo de pintar ai  desli-
gamos as pinturas ficaram brilhando
 ficou fantástico! até tirei uma foto olha!
[S][S] Esta fantástico",8933,Competência 1 - nível 3#Competência 2 - nível 2#Competência 3 - nível 2#Competência 4 - nível 3
204,"[T] A jovem ARTISTA
[P] Certo dia uma menina chamada Elisa estava bebendo Água na
cozinha Ate que ela reparou potes de tinta coloridas encima do Armario
então ela teve uma ideia que tal fazer uma pintura naquela parede
Branca do meu quarto ela resolveu pintar varios Animais. Pato, cachorro
pato, gato, peixes. 
[P] A menina achou que o cheiro estava muito forte então Reso
lvel ser se A tinta depois de alguns instantes depois de beber Água
mas surpriedentimente ela Ficou pasma ao ver que sua Havia
sumido A menina Ficou triste pois ela havia demorado 48 Horas
para fazer mas ela não desistiu do seu sonho de ser uma Artista
no outro dia.
[P] Então ela teve outra ideia para saber o que estava acontecendo
certo dia ela pegou o Resto da tintas guache é pintou um jardim com
muitas Flores é um lindo lago em outra parede branca é esperou
Até que não Aguentou é acabou dormindo no outro dia. 
[P] Viu que a pintura Havia sumido novamente
Ate que no outro dia ela resolveu colocar uma camera escondida
é novamente ela fez uma pintura e foi dormir com seus pais no outrodia...
no outro dia retirou a camera e viu o que estava Acontecendo
[P] é que um planeta quente estava pasando é porque as tintas
não eram permanentes Facil.",8934,Competência 1 - nível 3#Competência 2 - nível 3#Competência 3 - nível 3#Competência 4 - nível 4
205,"[T] Os animais que criaram vida 
[P] Logo descobri, que ps animais da pintura criaram vida
e não só espalharam ae roupas como es palharam e quebraram
a casa toda e se eu [X] muito perto eles me
atacavwm tentei domesticar eles mas não consegui  .
Eu sempre [X] de muitos animais mas vi que tinha poucos 
animais, então peguei as tintas , e criei mais animais com o
tempo descobri que conseguia desenhar oque eu quisesse que
se tornaria realidade , até as tintas acabarem gastei
quase toda a tinta [X] jaulas para os animais 
selvagens, comidas que não fazem mal a eles. Como 
eles destruiram tudo em casa gastei tinta também 
Comprando nova móveis. Depois de um tempo percebi 
que a tinta era muito perigosa então joguei ela fora
e depois chamei as autoridades responsáveis , fiquei triste 
por perde os animais mas sábia que era a escolha 
certa , as autoridades levaram os animais para um zoológico 
próximo da minha casa e sem que eu quis eu pua 
visitalos.


""ta",8936,Competência 1 - nível 3#Competência 2 - nível 4#Competência 3 - nível 3#Competência 4 - nível 4
206,"[T] Pequeno Menino
A menina [x] estava no parque e vil uma [?], ela sua
mãe foram na loja e viram um tanto de coisas como lapi
canetinha e brinquedos raros e o que ela adorou uma coisa
lintas ela comprou 15 caixas com nove potinhos de tinta de cada
cora ela comprou tudo que ela gostou e foi para casa. ela chegou
e testou tudo no final chegou ahora da tinta brilhar. Ela pa
çou tinta nas paredes nas portas na cama no guarda roupa e
depois disso o a mãe vil e ela paço o dia inteiro lavando
as coisas. no outro dia ela fez a mesma coisa e de novo
ela teve que lavar tudo o que ela pintou. ela repetiu isso tres
dias seguidos e ela teve fica sem as tintas por dois meses
e depois ela nunca mais fez isso de novo",8940,Competência 1 - nível 3#Competência 2 - nível 3#Competência 3 - nível 3#Competência 4 - nível 3
207,"[P] A historia de maria 
Era uma vez uma menina muito linda que se chamaria maria ela morava
em uma fazenda que é a fazenda do seu avó uma fazenda muita grande
que morava maria é seu avó e sua avó seu avó faleceu e só ficou maria 
e sua avo cassou [?] é maria fez 18 anos é sua avó 91 anos e com 101 anos 
sua avo faleceu e só ficou maria, com uns messes maria comecoçou a
namora é cê passou um ano passou um ano. maria  cê caso. Passou uns meses maria
teve uma menina muito bonita ingual a ela,  cê  casou. Passou uns messes maria
fez um aninho é maria teve um menino, é seu marido ficou muito feliz 
é eles foram felizem para sempre, em fim.",8942,Competência 1 - nível 2#Competência 2 - nível 2#Competência 3 - nível 2#Competência 4 - nível 2
