metrics,annotator1_annotator2,annotator1_both_annotator,annotator1_bertannotation,annotator2_both_annotator,annotator2_bertannotation,both_annotator_bertannotation
skipped,69.0,65.0,39.0,60.0,34.0,30.0
annotator2_empty_labels,32.0,,,32.0,32.0,
annotator1_empty_labels,37.0,37.0,37.0,,,
kappa_mean,0.642,0.589,0.268,0.522,0.279,0.205
kappa_std,0.27,0.316,0.188,0.339,0.188,0.182
kappa_min,-0.024,-0.079,-0.081,-0.099,-0.081,-0.091
kappa_max,1.0,1.0,0.789,1.0,0.789,0.789
kappa_median,0.665,0.633,0.256,0.501,0.281,0.156
kappa_25,0.442,0.357,0.131,0.239,0.146,0.066
kappa_75,0.871,0.845,0.393,0.84,0.419,0.315
kappa_90,1.0,1.0,0.527,1.0,0.499,0.469
kappa_95,1.0,1.0,0.622,1.0,0.606,0.557
kappa_99,1.0,1.0,0.755,1.0,0.749,0.663
total_annotations,262.0,262.0,262.0,262.0,262.0,262.0
both_annotator_empty_labels,,28.0,,28.0,,28.0
bertannotation_empty_labels,,,2.0,,2.0,2.0
