id,text,﻿id,label
257,"[T] UM CAVAL   O

[P] EM UDIA EU TINHA I DONAESCOLA
E UM CAVALO TÍNHA VIDO A TEMÍR
E UM [?] LOGO E O CAAVALO
TINHA CORITO A TEMÍR
I UM FILHOTE DE CAVALO
E EU TINHA UMA COBRA
I EU CORIA TECHEGA A 
TE A MINHA ESCOLA
E TINHA UM CAVALO
TINHA I DO ÍBORA
E O RABO E RE LOÍRHO
O OLHO E RA AZUL
CABELO LOURO
E A CHAVA QUE 
TINHA I DO IBORA
[X] O CAVALO
VOTO I NOIS
[?]
EU TENHO
UM CAVALO 
EM VERTADE
EU GOTA
DO CAVALO
EU SEIPRE
VOGO TA
DOCAVALO
I EU NÃO
VO LAGA
O CAVALO
EU GOTO DOCAVALO",9066,Competência 1 - nível 1#Competência 2 - nível 1#Competência 3 - nível 1#Competência 4 - nível 1
258,"[T] era uma vez os anímais
a menina e as tavesura a menina gosta de tinta
a menína e as tinta e os animais gosta de tinta.
a menína esta muito tinte por que a tinta sumíl
a menína achou a tinta e resolveu pintar o quarto ai
ela pintou o quarto dela e ficou muito lindo ela faiza
casa na arvere i ela pintar i ela faz deseus ai ela gosto
muito de casa na arvere",9067,Competência 1 - nível 2#Competência 2 - nível 2#Competência 3 - nível 3#Competência 4 - nível 2
259,"Resouvi arrumar ele, e depois com o quarto arrumado
resouvi faser as pinturas [X]dobrei, as roupas e fui para a Escola e quando
[X]encasa achei uma chave, de uma porta cecreta e abri ela, e tinha
muitas tintas coloridas, pegei as tintas e fiz umonte de desenhos, então
depos [X]e ficou dudo colorido, e de mãnhã minha mãe mideu um
pincel bem grande e comesei a pintar, pintei varios animais, cavalo coelho
cachorro muitos animais, e ficou muito coloridos, ate aminha coelha
ficou toda colorida, e dei um banho nela, e fim.",9068,Competência 1 - nível 3#Competência 2 - nível 3#Competência 3 - nível 3#Competência 4 - nível 3
260,"[T] Eu fui para o sítio do meu avô
O sítio do meu avô tinha muita vaca e boi e tinha cavalo
eu estava brincando com um filhote de cavalo nosdois estava
camsados o cavalo estava com fome eu di comida para eli eu
tameni estava fome eu comi peixe asado a noite seu eu pas-
i 2 dias umtempo eu fuibebe a gua quado eu fuibebe a gua
Não tinha a gua eu foi para a coma amanheseu eu fui
tomacafe eu terminei eu fui fazercarinho no cavalo edepois 
eu fui a judar o meu avô tirar o leite da vaca eu e o meu 
avô terminamos eu fui fazercarinho no cavalo de novo eu 
fui merenda bolacha e suco de abacachi a noiteseu e 
jantei frango frito.",9071,Competência 1 - nível 2#Competência 2 - nível 1#Competência 3 - nível 5#Competência 4 - nível 2
261,"FOGINO DO DINOSAURO
EUEN CO NTREI EM CIMADO ARMÁRIO A L G U N S 
POTES COM TINTA. ENTÃO [s] RESOLVIPINTAR NA
PARE DE DO MEU QUANTO [r] VOLTE [x] PRA SALA
FAZE MEU TRABALIO DE CASA EOMEUTRABALIO
E DE DINoSAURo E VOU FAZE UM [x]
DE RoBo JA ISTO TEMINÂNO E [x] DINOSAURO
FoUTA PESA TO SUBINO NO MEU [x] 
TA PAI E SUBI A BRIU [x] CAXIA
E VI UM R o B O DE DINoSAURo E PEGUEI O DINOSAURO
E VI UM CONTROLE DO DENOSAURo E PEGAAVA 
EO ROBO SIME CHEU E FOI PRA SALA
E O MEU PAI NÃO VIO O [x]
E O ROBO FOI [x] FORA
E MIA PRO VE BO RA FIO O MEU ROBO
E NIDEUNota10 E MEU ROBO FOI O MELIO",9072,Competência 1 - nível 1#Competência 2 - nível 2#Competência 3 - nível 1#Competência 4 - nível 1
262,"[T]A pintura antiga
era uma ves um muzel sobre arte ele era [X]
antigo ela no muzel tinha a pintura mais antiga do muzel
a pintura tinha uma coisa istranha era magica quando as pessoas
olhavão elas ficavão inpinotesadas eles ficavão ate a noite quando
anoiteçe eles ião ate a floresta. Quando chegavão la eles dezapare-
cia os poliçiais ia atela mais não emcomtravão Nada FIM.",9076,Competência 1 - nível 2#Competência 2 - nível 3#Competência 3 - nível 3#Competência 4 - nível 3
263,"[X]
[P] A luana tinha uma madastra que se chamava carol
ela era muito chata e o pai dela vive trabalhando
e a mãe dela morreu com acidente de carro e ela
ficou com o pai [?] casa da mãe dela o pai dela
comheceu uma mulher e comesaram a namorar mais tinha
uma coisa que a madastra da luana não sabia que 
o pai da luana tinha uma filha então o pai da luana
foi trabalhar então a carol falou - vai linpar a casa
se não vou falar pro seu pai que você me rroubou
então ela foi linpar bem rapido",9077,Competência 1 - nível 3#Competência 2 - nível 1#Competência 3 - nível 3#Competência 4 - nível 4
264,"[T] Um dia nositiol da vovó
[P] Eu fui passar um dia no sitio do vóvó e eu vi muitas [?} de diferentes no sitio]
eu vi meu amigfo Yuri e eu com vesei com ele o Yuri e ele falou:
- Oi David Vamos pegar laranja:
- Sim eu fui pega laranja na árvore. E eu vi uma coisa em sima da árvore e eu subi e vi um
coisa em presonante um brilho dourado na boca do passarinho o passarinho saiu da [?] [?]
E eu foutei para casa e fui dormi e acodei fui brinca e eu vi o pasarinho denovo e eu seje
o pasarinho e ele fui ate uma cachoeira que avia muitos pasarinhos de que [?] com que eu vi
eu fui avisa o Yuri sopre aquilo para ele e ele não acreditou em mim e eu levei ele atela e o
logo sormiu.",9078,Competência 1 - nível 4#Competência 2 - nível 1#Competência 3 - nível 4#Competência 4 - nível 4
265,"[T] Eu e meus amigos
[P] Era uma vez  eu e meus amigo fisemos um um
jardem ates uma imudação aconteceu e u jardim não
ficou o mesmo e em tão fisemos jardem e ele fcou
cheio de floris e eu ficamos sen regar ele e ele ficou 
mueto seco e morel e um respnemo [X] outro
jardim com nos estacou jardim e em a fazer ou
tro jardm o fico tambem lendo e foi Pasando o tem-
Po e mos foi fican adutos atér mos e npos amiges
não agon so no ficamos Doente e fomos curade
Por ireros que um ecezom res no [?] muito
jodem e chanas asor os amigo que nos mão 
edes timos do jaros menor no me se idso jarden
els fizemmsm oulo jardem mas que nos fiseno
e fico muito bonitos e morte elegam Com
meu no jarden elegam [?] foi Pelo es bíexb e 
ele foran or tro ma len coloreído",9079,Competência 1 - nível 1#Competência 2 - nível 1#Competência 3 - nível 3#Competência 4 - nível 1
266,"[T] a minHa arte é Pintura
[P] eu estava com uma amiga nó
[P] minHa casinHa da
[P] árvore estavamos

Precumrando alguma coisa Para

desenha é acHamos algumas tintas é
varias coisas legais eu monica
é minHa é minHa amiga

magarida saimos Para tomar suco
dePois Fomos comer uma macarronada
quando voltamos não tinHa

mais nada as tintas 
tinHa deramados as FolHas

todas rasgadas todas no cHão

quando cimos Ficamos triste
mais dePois tudo voltou [X] ao
normal dePois começamos tudo
bem é Feliz.",9080,Competência 1 - nível 2#Competência 2 - nível 3#Competência 3 - nível 4#Competência 4 - nível 3
