id,text,﻿ID,label
514,"[T]A [x]e o quadaropa
a [x] e o gurdaropa eictou tita
a parede e quebiu [x] naparde
ela soiu doquato e fou para o [x]
e quadaropa e a ropa [?] 
o desenou que pvanatarate descenou
da sanimazi quidezaparesou o do
ai zen eu da manima e qndaropa a
e tito que pintou o zanimaze guidaoseipa
[?] a guadaraze a ronoe a ropa 
[x]Ela e ozanimaze guitiza paza
eu fou a que tita que pitiza [?]
ze que Ela saiu do[x]
zamimaza que o quadaropa domiro
e a ropa a paeuzaiaropa a [?]
ce o zanimaze ce coguidarapa
eu ela viu o [x] e [?] ela
ela a gadrapare cropa
pra [x] ce zanimaze [?] ropo em
a menina e zale e migadora cem
e ropa aparceu [x] dapama
a um ropa e zele [x]
tita e zamaze [x]
liquei [x] e muloti paecia eu
muto um mima ela [?]ropa
ela loilino [?] gueda
ropa",9802,Competência 1 - nível 1#Competência 2 - nível 1#Competência 3 - nível 1#Competência 4 - nível 1
515,"[T] eu e isabela no sitio
eu e isabela a gente foi passiar ai a gente vio o ma arvore
e subimos e vimos maracoja e saimos da lim e fomos na casa
da minha vo e era o sitio e.
fimos u ma vaca e isabela subio na vaca e a vaca ela ficol brava e
correu a vaca e isabela ficol conmedor e cail de bubu e eu rir e
ela ficol brava e correl atrais de mim eu jaqueria chorar e ela [X] oma
pesoa e ela foi olhar o que era.
e era um bal e tinha muito oror
e a gente falol pra vó e ela NÃO sabi a que bal de oror
e mos trol para o vovo e ele levol para o muzel e 
[X]
o bau ese bau vivel u 1230 anos e ficol famosor e gente ficol
tabei famosor eles coindando do bau e eles ficol felis tanbei
FIM.",9805,Competência 1 - nível 2#Competência 2 - nível 1#Competência 3 - nível 4#Competência 4 - nível 3
516,"[T] Casa roubada tia
casa roubada tia tia uma dia uma prin cera linda prin tia naia
o que eu qus -  tava mão uma mão que solta-vam da conti-
nela linda do mosma auto...",9806,Competência 1 - nível 1#Competência 2 - nível 1#Competência 3 - nível 1#Competência 4 - nível 1
517,"[T] O Vento forte 
Era uma vez menina chamado estefani e a estefani queria 
[?] uma voutano praso mas seucachorro espoiqui, ela foino 
casinho aonde estavasua Mãe, e Perguntou asuo mãe. 
[P]Mãe eu posso irdo uma vouta lano porque aquino es quino 
de casa. então sua Mãe ergeu acabeço e disse. sim, mastome
muito cuidado! latem augumas arvores Velhas, então ela
Pegou a calero do espaiqui e foi para o parque eno meio do 
camilo ela encontrou asua amigo a anaclara, e então elas 
forão com versando ateo porque então quadro elo chegoulo 
asua amigo foi enbora eo estefani segui ascuço Minho
equado elo chegou elo foibrincar cano espaique 
elo foi brincar com ele e então ela escolheu a arvore 
com Mais som bro e elo pegou asua água e elo es 
tava bem jelo dinho e então elo escutou um
baru lio, e derre pente elo ahou para cima viu 
agalho acabando e emtão elo saio correndo 
e lembrou daque tinha falado asua mãe 
emtão elo foicorrendo para casa",9807,Competência 1 - nível 2#Competência 2 - nível 1#Competência 3 - nível 5#Competência 4 - nível 3
518,"[T]As tintas
[P]Eu encontrei varios potes de tintas dipaixo da pia
Resouvi pitar com os meus amigos nois reso-
uvemos pitar na parede da cozinha varios anim-
ais nois pintamos varios a nimais como macaco,
zebra, cavalo e vacas e de pois de pintar eu e os
meus amigo fomos assistir televisão e bricar
e de pois nois fomos jogar vidio game e depois
nois foi brinca no quintal e depois de muito
tenpo brincando no quintal nois foi para o quar-
to os desenhos de a nimais não tavão mais
la eu e meus amigos fomos corendo para [X]
da pia ver se tinha mais tinta para nois fazer
mais desenho mais não tinha mais [X]
ai não tinha como fazer mais desenhos de
a nimais ai nois foi dormi como nois a cordo
os desenhos tavão tudos la ai nois ficou
muito feliz e as titas tavão todas la ai
nois feiz mais pinturas com as tintas que no-
is axo ai nois feis mais animais e foitudo.
que nois pintamos e ums brinquedos.",9808,Competência 1 - nível 3#Competência 2 - nível 4#Competência 3 - nível 4#Competência 4 - nível 3
519,"o rio Benites
[T]as tintas sumiram
[P]quando eu vii que as tintas sumiu eu procurei até acha mais
[P]eu não achei ai eu virei pra outro lado eu vi alguns bicho
que eu [X] ai eu vii que eles pegou minhas tintas só pra
[P]desenha na minha guardaropa",9811,Competência 1 - nível 2#Competência 3 - nível 3#Competência 4 - nível 2
520,"[T] a Pintura do meu quarto
[P] eu es tava pintando a pare de do meu quarto e eu fui Sai para Beber
agua ai minha mãe micha mou ai ela pedu que eu ia na venda 
do meu avo epedu para comprar um pacote de sal e um a sucar e um
Soco de limal e uma uva verde e tomate tava  voutam do para 
casa duas coisa para minha mãe eu fui la  momeu
[P] quando eu olhei de quarto tinha 
[P] Sumido fui pera casa toda não achei fui olhar
noquintau o meu gato tinha pingado ayinta",9812,Competência 1 - nível 3#Competência 2 - nível 3#Competência 3 - nível 4#Competência 4 - nível 3
521,"[T] A pintura 
Então [X] assustada eu gritei MAE! Ela veio 
e me perguntou o que tinha acontecido, e eu disse:
[P] eu tinha pintado  essa parede com tinta que achei 
em cima do meu ármario, e quando voltei não tinha 
NADA! Ela disse:
[P] - como assim não tinha nada?
[P] a senhora sabe quem pode ter feito isso ?
[P] não, só tem nós duas em casa filha 
e eu disse: 
[P] - bom , como sobrou tinta e vou pintar novamente 
e me esconder atrás da cama 
Então quando terminou de pintar, me escondi atras da cama 
para ver quem estava fazendo isso, e confesso: eu fiquei cabacada 
com o que vi, a tinta escura se derretendo sozinha! Por conta 
do calor, e a  marca da tinta não eras dos melhores  e era bem 
ruinzinha e já estava vencida!
E eu não tinha visto. Então eu [X] removi o resto da 
tinta, pintei de branco e saí para comprar as cores 
mais lindas é é claro que ficou perfeito! e fim!",9817,Competência 1 - nível 5#Competência 2 - nível 4#Competência 3 - nível 4#Competência 4 - nível 4
522,"guando voutou ela foi fazer sua [X] tarefa da escola
guando avistou um ausiato ela levou para sua casa
e desenhou e a mãe dela falou para ela não taser mais
[X] nada para casa a menina ficou chorando porque a mãe dela
falo que não era pra trazer mais nada Para casa ai um día ela fugiu
de casa e foi para uma floresta a ecandonada e ficou fazendo suas arte
sim ninguem a trapalhar e a mãe dela ficou procurando ela dentro
de uma a mazonicas a bandonada e ela vendo unas
avore e desenhou e ela chegou perto de uma caichoeira
e tinha um monte de peixinhos . e pesou sua cam[X]ra e fiumou o os peixinho
pulando um dia ela ficou com saudade de sua mãe dela fila
vou tou para sua casa  ela sentou na cadeira [X]la fora",9818,Competência 1 - nível 3#Competência 2 - nível 3#Competência 3 - nível 4#Competência 4 - nível 3
523,"Era uma [?] um menena que gastava de b reca
ela brecal tamta que ela ficau cam a perna doimdo ai
ela clamou a mãe e desse que estava cam a perna doimdo
ai a mâe falou vau passa dotorinha
ai a mâe falou que nãa e pra corre mais parque a dar pade
volta ai varias dias se passa ai ela foi pra escala 
a tempo parra ai ela valtal para a casa dela es fai para
casa dar . amigar ae ela fai pra casa da padrinho
um dace de leete e um bala de leete lambém quanda
o dias passa ela fai pra casa da tia ela fai pra
praca da nercadar quanda ela chegale da praca
ela tamal um bamha para ir pra ferta a tempo
passa ele fai pra cara dela fai dorme
para er paaa escala o tempa passa
ai ela fai pra iscala estuda a tempa passa
ela fai para casa dela ela fai pra praça da nercadar
da nercadar ela fai pra cara dela tama b amho",9819,Competência 1 - nível 1#Competência 2 - nível 1#Competência 3 - nível 4#Competência 4 - nível 1
